10.1.1.143.3645	2007	Role Assignment in Wireless Sensor Networks: Energy-Efficient Strategies and Algorithms
R1	10.1.1.110.6935	Next century challenges: Scalable coordination in sensor networks
R1	10.1.1.112.2772	GPSR: Greedy perimeter stateless routing for wireless networks
R1	10.1.1.110.1242	Minimum energy mobile wireless networks
R1	10.1.1.18.4326	QoS-Aware Middleware for Ubiquitous and Heterogeneous Environments
R1	10.1.1.109.7382	Fine-grained network time synchronization using reference broadcasts
R1	10.1.1.136.6228	TAG: a Tiny AGgregation service for ad-hoc sensor networks
R1	10.1.1.19.742	Designing a Home of the Future
R1	10.1.1.16.7403	Bounding the Lifetime of Sensor Networks Via Optimal Role Assignments
R1	10.1.1.47.1888	Measuring and Reducing Energy Consumption of Network Interfaces in Hand-Held Devices
R1	10.1.1.35.3261	GPS-less Low Cost Outdoor Localization For Very Small Devices
R1	10.1.1.1.2402	Middleware to support sensor network applications
R1	10.1.1.108.4327	ASCENT: Adaptive self-configuring sensor networks topologies
R1	10.1.1.37.5539	Topology Control of Multihop Wireless Networks using Transmit Power Adjustment
R1	10.1.1.11.3734	Rumor Routing Algorithm for Sensor Networks
R1	10.1.1.24.8172	Adaptive Protocols for Information Dissemination in Wireless Sensor Networks
R1	10.1.1.100.9170	Querying the physical world
R1	10.1.1.127.9479	Wearable Computer as a Multi-parametric Monitor for Physiological Signals
R1	10.1.1.1.4507	GHT: A Geographic Hash Table for Data-Centric Storage
R1	10.1.1.10.4428	A Review of Current Routing Protocols for Ad-Hoc Mobile Wireless Networks
R1	10.1.1.107.7720	Energy Conserving Routing in Wireless Ad-hoc Networks
R1	10.1.1.21.7581	Power-Aware Routing in Mobile Ad Hoc Networks
R1	10.1.1.1.3020	Trajectory Based Forwarding and Its Applications
R1	10.1.1.10.3778	Ad Hoc Positioning System (APS)
R1	10.1.1.11.5064	Energy Aware Routing for Low Energy Ad Hoc Sensor Networks
R1	10.1.1.13.2314	Energy Efficient Routing in Ad Hoc Disaster Recovery Networks
R1	10.1.1.331.2614	The design of an acquisitional query processor for sensor networks
R1	10.1.1.329.5154	Bluetooth: vision, goals, and architecture
R1	10.1.1.131.1338	Least squares quantization in pcm
R1	10.1.1.131.6269	Data mules: Modeling a three-tier architecture for sparse sensor networks
R1	10.1.1.104.138	On the Construction of Energy-Efficient Broadcast and Multicast Trees in Wireless Networks
R1	10.1.1.2.1061	On Maximizing Lifetime of Multicast Trees in Wireless Ad hoc Networks
R1	10.1.1.20.7221	Coverage Problems in Wireless Ad-hoc Sensor Networks
R1	10.1.1.146.370	Integrated coverage and connectivity configuration in wireless sensor networks
R1	10.1.1.12.2637	Differentiated Surveillance for Sensor Networks
R1	10.1.1.140.9034	Low power distributed MAC for ad hoc sensor radio networks
R1	10.1.1.10.1104	Connected Sensor Cover: Self-Organization of Sensor Networks for Efficient Query Execution
R1	10.1.1.130.6204	Sending Messages to Mobile Users in Disconnected Ad-Hoc Wireless Networks
R1	10.1.1.11.3089	Infrastructure Tradeoffs for Sensor Networks
R1	10.1.1.10.407	DAPR: A Protocol for Wireless Sensor Networks Utilizing an Application-based Routing Cost
R1	10.1.1.120.9653	Energy-aware TDMA-based MAC for sensor networks
R1	10.1.1.125.565	An Adaptive Energy-Efficient and Low-Latency MAC for Data Gathering
R1	10.1.1.3.5340	Minimum-Energy Asynchronous Dissemination to Mobile Sinks in Wireless Sensor Networks
R1	10.1.1.18.2979	Sensor Information Networking Architecture and Applications
R1	10.1.1.5.3562	Distributed Clustering in Ad-hoc Sensor Networks: A Hybrid, Energy-Efficient Approach
R1	10.1.1.57.9922	Optimal Sensor Management Under Energy and Reliability Constraints
R1	10.1.1.112.2226	Design Considerations for Ultra-Low Energy Wireless Microsensor Nodes
R1	10.1.1.178.8707	Joint mobility and routing for lifetime elongation in wireless sensor networks
R1	10.1.1.11.773	Cross-Layer Scheduling for Power Efficiency in Wireless Sensor Networks
R1	10.1.1.123.2365	Power Efficient Monitoring Management in Sensor Networks
R1	10.1.1.129.8122	An energy conservation method for wireless sensor networks employing a blue noise spatial sampling technique
R1	10.1.1.12.5243	EnviroTrack: Towards an Environmental Computing Paradigm for Distributed Sensor Networks
R1	10.1.1.13.1629	The k-NEIGH Protocol for Symmetric Topology Control in Ad Hoc Networks
R1	10.1.1.14.2281	Energy-efficient Broadcasting in All-wireless Networks
R1	10.1.1.128.9943	Protocols for local data delivery in wireless microsensor networks
R1	10.1.1.3.3530	Providing Application QoS through Intelligent Sensor Management
R1	10.1.1.318.3789	Energy-aware data-centric routing in microsensor networks
R1	10.1.1.143.6631	On the problem of unbalanced load distribution in wireless sensor networks
R1	10.1.1.1.9153	S-REMiT: A Distributed Algorithm for Source-based Energy Efficient Multicasting in Wireless Ad Hoc Networks
R1	10.1.1.114.6544	Siphon: Overload traffic management using multi-radio virtual sinks in sensor networks
R1	10.1.1.15.2010	Energy-Efficient Topology Control for Wireless Ad Hoc Sensor Networks
R1	10.1.1.94.9718	Improved POCS-based image reconstruction from irregularly-spaced samples
R1	10.1.1.115.9204	An analysis of strategies for mitigating the sensor network hot spot problem
R1	10.1.1.152.2729	Design optimization of multisink sensor networks by analogy to electrostatic theory
R1	10.1.1.143.6066	General network lifetime and cost models for evaluating sensor network deployment strategies,” To appear
R1	10.1.1.148.1376	An integrated approach to sensor role selection
