10.1.1.155.317	2009	Clustering the tagged web
R1	10.1.1.110.4050	Latent dirichlet allocation
R1	10.1.1.32.9956	A Comparative Study on Feature Selection in Text Categorization
R1	10.1.1.108.8490	Indexing by latent semantic analysis
R1	10.1.1.1.4458	Probabilistic Latent Semantic Indexing
R1	10.1.1.174.7953	Learning to cluster web search results
R1	10.1.1.140.6686	Modeling annotated data
R1	10.1.1.12.1400	Topic-Sensitive PageRank
R1	10.1.1.43.1111	Focused crawling: a new approach to topic-specific Web resource discovery
R1	10.1.1.34.6233	Reexamining the Cluster Hypothesis: Scatter/Gather on Retrieval Results
R1	10.1.1.14.7489	Analysis of Anchor Text for Web Search
R1	10.1.1.69.2000	Hourly analysis of a very large topically categorized web query log
R1	10.1.1.134.4929	Information retrieval in folksonomies: Search and ranking
R1	10.1.1.11.9542	Tracking and Summarizing News on a Daily Basis with Columbia's Newsblaster
R1	10.1.1.70.5972	An Evaluation on Feature Selection for Text Clustering
R1	10.1.1.83.4177	Cluster-based retrieval using language models
R1	10.1.1.127.91	Information Retrieval
R1	10.1.1.78.5132	Improved annotation of the blogosphere via autotagging and hierarchical clustering
R1	10.1.1.120.5736	Automated Tag Clustering: Improving search and exploration in the tag space
R1	10.1.1.138.1982	Exploring Social Annotations for Information Retrieval
R1	10.1.1.210.2819	Can social bookmarking improve web search
R1	10.1.1.88.1226	Diversifying the Image  Retrieval Results
