10.1.1.227.2679	2011	A General Framework of Multi-Population Methods with Clustering in Undetectable Dynamic Environments
R1	10.1.1.65.6137	A niching Particle Swarm Optimizer
R1	10.1.1.248.4138	Particle swarm optimization
R1	10.1.1.12.3134	A New Evolutionary System for Evolving Artificial Neural Networks
R1	10.1.1.9.5959	A University Timetabling System based on Graph Colouring and Constraint Manipulation
R1	10.1.1.2.8897	Memory Enhanced Evolutionary Algorithms for Changing Optimization Problems
R1	10.1.1.3.2938	A Multi-Population Approach to Dynamic Optimization Problems
R1	10.1.1.124.3278	On the use of niching for dynamic landscapes
R1	10.1.1.48.6501	Genetic Algorithms for Changing Environments
R1	10.1.1.100.2180	Evolutionary Optimization in Dynamic Environments
R1	10.1.1.218.6395	Evolutionary optimization in uncertain environments - a survey
R1	10.1.1.79.4834	Genetic algorithms for tracking changing environments
R1	10.1.1.7.5111	Evolutionary Algorithms in Noisy Environments: Theoretical Issues and Guidelines for Practice
R1	10.1.1.105.1014	Kalman-extended genetic algorithm for search in nonstationary environments with noisy fitness evaluations
R1	10.1.1.368.6600	Experimental study on population-based incremental learning algorithms for dynamic optimization problems
R1	10.1.1.156.760	Locating and tracking multiple dynamic optima by a particle swarm model using speciation
R1	10.1.1.137.8997	Adaptive evolutionary planner/navigator for mobile robots
R1	10.1.1.183.3699	Associative memory scheme for genetic algorithms in dynamic environments
R1	10.1.1.24.8322	Combined Automatic and Interactive Timetabling Using Constraint Logic Programming
R1	10.1.1.26.8523	A Partial Order Approach to Noisy Fitness Functions
R1	10.1.1.407.5719	Uncertainty and change
R1	10.1.1.1.4089	A Particle Swarm Model for Tracking Multiple Peaks In a Dynamic . . .
R1	10.1.1.153.487	Adaptively choosing niching parameters in a PSO
R1	10.1.1.135.996	Evolving Multi Rover Systems in Dynamic and Noisy Environments
R1	10.1.1.139.9963	Benchmark Generator for CEC’2009 Competition on Dynamic Optimization
R1	10.1.1.183.3548	A generalized approach to construct benchmark problems for dynamic
R1	10.1.1.206.2896	Particle swarm optimization -- An Overview
R1	10.1.1.147.9852	Population-based incremental learning with memory scheme for changing environments
R1	10.1.1.149.2547	Hyper-learning for population-based incremental learning in dynamic environments
R1	10.1.1.183.2880	Hyper-selection in dynamic environments
R1	10.1.1.148.4699	A Clustering Particle Swarm Optimizer for Dynamic Optimization
R1	10.1.1.156.1693	Using Regression to Improve Local Convergence
R1	10.1.1.183.1980	Fast Multi-swarm Optimization for Dynamic Optimization Problems
R1	10.1.1.193.2015	Classic and Heuristic Approaches in Robot Motion Planning – A Chronological Review
R1	10.1.1.221.8419	Particle Swarm Optimization With Composite Particles in Dynamic Environments
R1	10.1.1.226.7959	A clustering particle swarm optimizer for locating and tracking multiple optima in dynamic environments
R1	10.1.1.420.4969	A hibernating multi-swarm optimization algorithm for dynamic environments
