10.1.1.413.9235	2006	Clustering, Dimensionality Reduction and Side Information
R1	10.1.1.332.356	The Nature of Statistical Learning Theory
R1	10.1.1.21.6759	Learning to Construct Knowledge Bases from the World Wide Web
R1	10.1.1.207.7208	Segmentation using eigenvectors: A unifying view
R1	10.1.1.214.8532	An optimal graph theoretic approach to data clustering: Theory and its application to image segmentation
R1	10.1.1.14.3601	Normalized Cuts and Image Segmentation
R1	10.1.1.18.2720	Data Clustering: A Review
R1	10.1.1.11.9519	A Re-Examination of Text Categorization Methods
R1	10.1.1.308.8619	Some methods for classification and analysis of multivariate observations
R1	10.1.1.160.3832	Mean shift: A robust approach toward feature space analysis
R1	10.1.1.26.5045	Biclustering of Expression Data
R1	10.1.1.199.4520	Learning the k in k-means
R1	10.1.1.34.9765	An Efficient Approach to Clustering in Large Multimedia Databases with Noise
R1	10.1.1.160.8494	J.C.: Best practices for convolutional neural networks applied to visual document analysis
R1	10.1.1.211.9957	Principal manifolds and nonlinear dimensionality reduction via tangent space alignment zhenyue zhang, hongyuan zha
R1	10.1.1.44.7709	Exploiting Generative Models in Discriminative Classifiers
R1	10.1.1.382.970	Multivariate adaptive regression splines
R1	10.1.1.331.6859	GRAPH-THEORETICAL METHODS FOR DETECTING AND DESCRIBING Gestalt Clusters
R1	10.1.1.111.7659	Selection of relevant features and examples in machine learning
R1	10.1.1.11.418	Charting a Manifold
R1	10.1.1.5.5533	A Kernel View Of The Dimensionality Reduction Of Manifolds
R1	10.1.1.1.3309	Manifold Learning and Applications in Recognition
R1	10.1.1.130.110	GTM: The generative topographic mapping
R1	10.1.1.1.9544	Nearest Manifold Approach for Face Recognition
R1	10.1.1.186.4758	Wrappers for feature subset selection
R1	10.1.1.132.7641	Representation and recognition of handwritten digits using deformable templates
R1	10.1.1.51.6297	Estimating Attributes: Analysis and Extensions of RELIEF
R1	10.1.1.133.1040	Experiments with a New Boosting Algorithm
R1	10.1.1.43.5114	Feature Selection in Unsupervised Learning via Evolutionary Search
R1	10.1.1.10.6807	Rapid object detection using a boosted cascade of simple features
R1	10.1.1.1.5414	Soft Biometric Traits for Personal Recognition Systems
R1	10.1.1.1.5745	Integrating Constraints and Metric Learning in Semi-Supervised Clustering
R1	10.1.1.10.3857	Correlation Clustering
R1	10.1.1.121.5724	A Probabilistic Framework for Semi-Supervised Clustering
R1	10.1.1.11.5360	From Instance-level Constraints to Space-level Constraints: Making the Most of Prior Knowledge in Data Clustering
R1	10.1.1.14.8597	Think Globally, Fit Locally: Unsupervised Learning of Low Dimensional Manifolds
R1	10.1.1.38.9219	A Robust Competitive Clustering Algorithm with Applications in Computer Vision
R1	10.1.1.131.5152	Automatic Subspace Clustering of High Dimensional Data
R1	10.1.1.30.9202	Efficient Feature Selection in Conceptual Clustering
R1	10.1.1.123.8151	Statistical pattern recognition: A review
R1	10.1.1.21.1899	Using Machine Learning To Improve Information Access
R1	10.1.1.11.5032	Adaptive floating search methods in feature selection
R1	10.1.1.115.3644	An introduction to kernel-based learning algorithms
R1	10.1.1.121.9220	A density-based algorithm for discovering clusters in large spatial databases with noise
R1	10.1.1.42.7488	Distributional Clustering of Words for Text Classification
R1	10.1.1.10.3310	A divisive information-theoretic feature clustering algorithm for text classification
R1	10.1.1.382.4593	Projection Pursuit Regression
R1	10.1.1.48.2562	Maximum Certainty Data Partitioning
R1	10.1.1.41.3576	Greedy Attribute Selection
R1	10.1.1.35.9868	CHAMELEON: A Hierarchical Clustering Algorithm Using Dynamic Modeling
R1	10.1.1.141.6372	Feature selection for high-dimensional genomic microarray data
R1	10.1.1.131.1338	Least squares quantization in pcm
R1	10.1.1.66.8046	A spatio-temporal extension to isomap nonlinear dimension reduction
R1	10.1.1.13.897	Automatic Alignment of Local Representations
R1	10.1.1.13.7959	Stochastic Neighbor Embedding
R1	10.1.1.12.4104	An Impossibility Theorem for Clustering
R1	10.1.1.215.2465	Active Semi-Supervision for Pairwise Constrained Clustering
R1	10.1.1.227.6771	Clustering with instance-level constraints
R1	10.1.1.2.6509	Distance Metric Learning, With Application To Clustering With Side-Information
R1	10.1.1.137.495	Non-Linear Dimensionality Reduction
R1	10.1.1.228.7485	Hierarchical discriminant regression
R1	10.1.1.21.3062	Document Clustering using Word Clusters via the Information Bottleneck Method
R1	10.1.1.10.2712	Sparse Principal Component Analysis
R1	10.1.1.35.7574	Regression Shrinkage and Selection Via the Lasso
R1	10.1.1.127.9167	Divergence measures based on the Shannon entropy
