10.1.1.85.6683	2007	Image Smoothing and Edge Detection by Nonlinear Diffusion and Bilateral Filter
R1	10.1.1.420.3300	A computational approach to edge detection
R1	10.1.1.126.2091	Bilateral Filtering for Gray and Color Images
R1	10.1.1.164.719	Fast Bilateral Filtering for the Display of High-Dynamic-Range Images
R1	10.1.1.18.5715	Edge Detection
R1	10.1.1.17.7382	Image-Based Modeling and Photo Editing
R1	10.1.1.154.9560	Orientation Diffusions
R1	10.1.1.27.605	Robust Anisotropic Diffusion
R1	10.1.1.9.5741	A Common Framework for Nonlinear Diffusion, Adaptive Smoothing, Bilateral Filtering and Mean Shift
R1	10.1.1.34.9979	Efficient and Reliable Schemes for Nonlinear Diffusion Filtering
R1	10.1.1.11.7513	Anisotropic Diffusion In Image Processing
R1	10.1.1.49.8095	Information Measures in Scale-Spaces
R1	10.1.1.160.7334	Flash photography enhancement via intrinsic relighting
R1	10.1.1.117.7148	Two-scale tone management for photographic look
R1	10.1.1.136.5527	Separable bilateral filtering for fast video preprocessing
R1	10.1.1.103.3953	Retinex by two bilateral filters
R1	10.1.1.87.5958	On robust estimation and smoothing with spatial and tonal kernels
R1	10.1.1.413.5362	Neighborhood filters and PDE’s
R1	10.1.1.15.1419	Selection of Optimal Stopping Time for Nonlinear Diffusion Filtering
R1	10.1.1.11.9286	Efficient Image Segmentation Using Partial Differential Equations and Morphology
R1	10.1.1.119.5498	PDE-based preprocessing of medical images
R1	10.1.1.69.795	Noise estimation from a single image
R1	10.1.1.140.2776	Unsupervised, information-theoretic, adaptive image filtering for image restoration
R1	10.1.1.413.8756	The staircasing effect in neighborhood filters and its solution
