10.1.1.94.9456	2005	Efficient Content Locating in Dynamic Peer-to-Peer Networks
R1	10.1.1.160.7346	A measurement study of peer-to-peer file sharing systems
R1	10.1.1.140.3129	A Scalable Content-Addressable Network
R1	10.1.1.28.5987	Pastry: Scalable, distributed object location and routing for large-scale peer-to-peer systems
R1	10.1.1.105.3673	Chord: A Scalable Peer-to-Peer Lookup Service for Internet Applications
R1	10.1.1.20.2080	Space/Time Trade-offs in Hash Coding with Allowable Errors
R1	10.1.1.111.1818	Tapestry: An infrastructure for fault-tolerant wide-area location and routing
R1	10.1.1.115.6586	YAPPERS: A Peer-to-Peer Lookup Service over Arbitrary Topology
R1	10.1.1.37.234	On Power-Law Relationships of the Internet Topology
R1	10.1.1.1.3037	On the Feasibility of Peer-to-Peer Web Indexing and Search
R1	10.1.1.1.3782	The Case for a Hybrid P2P Search Infrastructure
R1	10.1.1.12.3389	A Local Search Mechanism for Peer-to-Peer Networks
R1	10.1.1.147.2935	Inet-3.0: Internet topology generator
R1	10.1.1.132.970	Search and replication in unstructured peer-to-peer networks
R1	10.1.1.16.3696	Probabilistic Location and Routing
R1	10.1.1.112.7341	Brite: Universal topology generation from a user’s perspective
R1	10.1.1.10.9602	Hybrid Global-Local Indexing for Efficient Peer-To-Peer Information Retrieval
R1	10.1.1.4.8363	Peer-to-Peer Information Retrieval Using Self-Organizing Semantic Overlay Networks
R1	10.1.1.3.1183	Measuring and Analyzing the Characteristics of Napster and Gnutella Hosts
R1	10.1.1.156.881	A Comparison of Peerto-Peer Search Methods
R1	10.1.1.111.5316	Improving search in peer-to-peer networks
R1	10.1.1.18.1935	Scalable Peer Finding on the Internet
R1	10.1.1.207.1859	Design, Analysis and Simulation of a System for Free-Text Search in Peer-to-Peer Networks
