10.1.1.100.8370	2006	A survey of imagebased relighting techniques
R1	10.1.1.24.6049	Rendering Synthetic Objects into Real Scenes: Bridging Traditional and Image-based Graphics with Global Illumination and High Dynamic Range Photography
R1	10.1.1.25.668	A Practical Model for Subsurface Light Transport
R1	10.1.1.127.3126	From Few to many: Illumination cone models for face recognition under variable lighting and pose
R1	10.1.1.4.1492	Image-based Modeling and Rendering of Surfaces with Arbitrary BRDFs
R1	10.1.1.188.298	Relighting with the reflected irradiance field: Representation, sampling and reconstruction
R1	10.1.1.32.7806	Efficient Re-rendering of Naturally Illuminated Environments
R1	10.1.1.10.8053	Precomputed Radiance Transfer for Real-Time Rendering in Dynamic, Low-Frequency Lighting Environments
R1	10.1.1.187.7908	Clustered principal components for precomputed radiance transfer”, SIGGRAPH
R1	10.1.1.1.5301	TensorTextures: Multilinear Image-Based Rendering
R1	10.1.1.7.8865	Appearance based object modeling using texture database: Acquisition, compression and rendering
R1	10.1.1.92.7492	Synthesis of bidirectional texture functions on arbitrary surfaces
R1	10.1.1.11.1423	Image-Based Rendering of Diffuse, Specular and Glossy Surfaces from a Single Image
R1	10.1.1.10.144	An Efficient Representation for Irradiance Environment Maps
R1	10.1.1.2.9848	The Plenoptic Function and the Elements of Early Vision
R1	10.1.1.122.7873	Inverse Rendering for Computer Graphics
R1	10.1.1.34.301	Environment Matting Extensions: Towards Higher Accuracy and Real-Time Capture
R1	10.1.1.329.3026	L.: Acquisition and rendering of transparent and refractive objects
R1	10.1.1.127.7799	All-frequency shadows using non-linear wavelet lighting approximation
R1	10.1.1.297.6777	Plenoptic sampling
R1	10.1.1.11.144	Triple Product Wavelet Integrals for All-Frequency Relighting
R1	10.1.1.220.9309	Relighting with 4d incident light fields
R1	10.1.1.68.4087	Progressively-refined reflectance functions from natural illumination
R1	10.1.1.66.1245	A statistical framework for imagebased relighting
R1	10.1.1.138.6679	A survey of image-based rendering techniques
R1	10.1.1.11.2813	Generalized Plenoptic Sampling
