10.1.1.101.7806	2005	Diversity creation methods: A survey and categorisation
R1	10.1.1.1.3033	Linear Combiners for Classifier Fusion: Some Theoretical and Experimental Results
R1	10.1.1.11.3321	Analysis of Linear and Order Statistics Combiners for Fusion of Imbalanced Classifiers
R1	10.1.1.348.6158	Analysis of decision boundaries in linearly combined neural classifiers
R1	10.1.1.27.4255	Optimal Linear Combinations of Neural Networks
R1	10.1.1.133.1040	Experiments with a New Boosting Algorithm
R1	10.1.1.37.8876	Neural Network Ensembles, Cross Validation, and Active Learning
R1	10.1.1.36.4465	Error Correlation And Error Reduction In Ensemble Classifiers
R1	10.1.1.34.3566	Improving Regression Estimation: Averaging Methods for Variance Reduction with Extensions to General Convex Measure Optimization
R1	10.1.1.105.506	Popular ensemble methods: an empirical study
R1	10.1.1.44.7302	Feature Selection for Ensembles
R1	10.1.1.57.5909	Error-Correcting Output Coding Corrects Bias and Variance
R1	10.1.1.30.9410	Arcing Classifiers
R1	10.1.1.80.9515	Anticorrelation measures in genetic programming
R1	10.1.1.29.1512	Randomizing Outputs To Increase Prediction Accuracy
R1	10.1.1.7.1266	Bootstrapping with Noise: An Effective Regularization Technique
R1	10.1.1.8.9813	Ensemble Learning using Decorrelated Neural Networks
R1	10.1.1.36.3954	Theoretical Foundations Of Linear And Order Statistics Combiners For Neural Pattern Classifiers
R1	10.1.1.107.6617	The Use of the Ambiguity Decomposition in Neural Network Ensemble Learning Methods
R1	10.1.1.32.5965	Diversity versus Quality in Classification Ensembles based on Feature Selection
R1	10.1.1.13.9870	Analyzing Anti-correlation in Ensemble Learning
R1	10.1.1.11.1308	Constructing Diverse Classifier Ensembles using Artificial Training Examples
R1	10.1.1.329.9347	Experiments with classifier combination rules
R1	10.1.1.38.7017	Pruning Adaptive Boosting
R1	10.1.1.56.69	Generating Accurate and Diverse Members of a Neural-Network Ensemble
R1	10.1.1.105.199	Diversity in Neural Network Ensembles
R1	10.1.1.27.8713	The "test and Select" Approach to Ensemble Combination
R1	10.1.1.2.5171	Importance Sampled Learning Ensembles
R1	10.1.1.12.9691	That Elusive Diversity in Classifier Ensembles
R1	10.1.1.24.239	Using Diversity in Preparing Ensembles of Classifiers Based on Different Feature Seature Subsets to Minimize Generalization Error
R1	10.1.1.19.6086	Bagging and Boosting for the Nearest Mean Classifier: Effects of Sample Size on Diversity and Accuracy
R1	10.1.1.27.8504	Diversity, Selection, and Ensembles of Artificial Neural Nets
R1	10.1.1.41.4402	Error-Correcting Output Codes: A General Method for Improving Multiclass Inductive Learning Programs
R1	10.1.1.58.1763	A Constructive Algorithm for Training Cooperative Neural Network Ensembles
R1	10.1.1.28.8426	Speciation as Automatic Categorical Modularization
R1	10.1.1.12.2782	Making Use of Population Information in Evolutionary Artificial Neural Networks
R1	10.1.1.24.5068	Data Complexity Analysis for Classifier Combination
R1	10.1.1.30.5038	A Unified Bias-Variance Decomposition and its Applications
R1	10.1.1.306.8557	Variance and bias for general loss functions
