10.1.1.106.7207	2002	Recommendation and personalization: a survey
R1	10.1.1.217.4132	Mining Association Rules between Sets of Items in Large Databases
R1	10.1.1.120.3875	Authoritative Sources in a Hyperlinked Environment
R1	10.1.1.117.7097	The Small-World Phenomenon: An Algorithmic Perspective
R1	10.1.1.24.7917	Privacy by Design - Principles of Privacy-Aware Ubiquitous Systems
R1	10.1.1.109.4049	The Anatomy of a Large-Scale Hypertextual Web Search Engine
R1	10.1.1.12.1568	Context in Web Search
R1	10.1.1.27.7690	Modern Information Retrieval
R1	10.1.1.33.3592	Catching the Boat with Strudel: Experiences with a Web-Site Management System
R1	10.1.1.48.1997	Extracting Semistructured Information from the Web
R1	10.1.1.136.7654	Automatic Personalization Based on Web Usage Mining
R1	10.1.1.39.2552	Recommender Systems in E-Commerce
R1	10.1.1.33.2985	A Query Language for a Web-Site Management System
R1	10.1.1.33.2176	Wrapper Induction for Information Extraction
R1	10.1.1.201.9694	Empirical Analysis of Predictive Algorithm for Collaborative Filtering
R1	10.1.1.38.5499	Analysis of Recommendation Algorithms for E-Commerce
R1	10.1.1.128.2127	As we may think
R1	10.1.1.40.4469	Syskill & Webert: Identifying interesting web sites
R1	10.1.1.33.2256	An Active Transcoding Proxy to Support Mobile Web Access
R1	10.1.1.104.3739	Using collaborative filtering to weave an information tapestry
R1	10.1.1.30.6583	Social Information Filtering: Algorithms for Automating "Word of Mouth"
R1	10.1.1.2.6687	From Adaptive Hypermedia to the Adaptive Web
R1	10.1.1.29.8523	Modeling Web Sources for Information Integration
R1	10.1.1.104.7500	Information Filtering and Information Retrieval: Two Sides of the Same Coin
R1	10.1.1.359.7001	Ordered treemap layouts
R1	10.1.1.186.8922	Gps-based geographic addressing, routing, and resource discovery
R1	10.1.1.32.7743	Next Generation Web Search: Setting Our Sites
R1	10.1.1.106.8339	Empirical evaluation of user models and user-adapted systems. User Modeling and User-Adapted Interaction
R1	10.1.1.134.2016	An Introduction to Partial Evaluation
R1	10.1.1.34.6208	XTRACT: A System for Extracting Document Type Descriptors from XML Documents
R1	10.1.1.30.9454	Enhancing Privacy and Trust in Electronic Communities
R1	10.1.1.26.2631	Does "Authority" Mean Quality? Predicting Expert Quality Ratings of Web Documents
R1	10.1.1.29.1549	Tree visualization with Tree-maps: A 2-d space-filling approach
R1	10.1.1.109.6332	Grouplens: Applying collaborative filtering to usenet news
R1	10.1.1.103.8264	PHOAKS: a system for sharing recommendations
R1	10.1.1.37.8212	Eigentaste: A Constant Time Collaborative Filtering Algorithm
R1	10.1.1.30.3862	A Multilevel Approach to Intelligent Information Filtering: Model, System, and Evaluation
R1	10.1.1.21.360	Relevance Feedback and Personalization: A Language Modeling Perspective
R1	10.1.1.208.768	Context Interchange: New Features and Formalisms for the Intelligent Integration of Information
R1	10.1.1.151.3534	Helping people find what they don’t know
R1	10.1.1.16.1168	Self-Organization and Identification of Web Communities
R1	10.1.1.40.2101	Learning and Revising User Profiles: The Identification of Interesting Web Sites
R1	10.1.1.207.666	J.W.: Learning Users’ Interests by Unobtrusively Observing Their Normal Behavior
R1	10.1.1.100.3863	Digital libraries
R1	10.1.1.116.4594	The Partial Evaluation Approach to Information Personalization
R1	10.1.1.16.4348	Content-Based Book Recommending Using Learning for Text Categorization
R1	10.1.1.112.7249	PIPE: Web Personalization by Partial Evaluation
R1	10.1.1.123.1376	Adaptive interfaces for ubiquitous Web access
R1	10.1.1.20.5396	Active Views for Electronic Commerce
R1	10.1.1.107.2635	Inquirus, the neci meta search engine
R1	10.1.1.12.302	Extracting Schema from Semistructured Data
R1	10.1.1.22.8172	MARIAN: Flexible Interoperability for Federated Digital Libraries
R1	10.1.1.11.8370	Inferring Structure in Semistructured Data
R1	10.1.1.108.4092	Fab: Content-based, collaborative recommendation
R1	10.1.1.34.1744	Personal Ontologies for Web Navigation
R1	10.1.1.32.4515	A Broader Approach to Personalization
R1	10.1.1.18.7827	Polyarchy Visualization: Visualizing Multiple Intersecting Hierarchies
R1	10.1.1.104.6896	Jumping Connections: A Graph-Theoretic Model for Recommender Systems
R1	10.1.1.33.3282	Personalization & Asynchronicity to Support Mobile Web Access
R1	10.1.1.21.2623	Describing and Manipulating XML Data
R1	10.1.1.131.5462	Personalizing the Web using site descriptions
R1	10.1.1.331.7822	Recommender Systems for E-Commerce: Challenges and Opportunities
R1	10.1.1.125.9209	Querying XML data
R1	10.1.1.25.282	Personalized Hypermedia and International Privacy
R1	10.1.1.16.2812	Joining Collaborative and Content-based Filtering
R1	10.1.1.112.3078	Representational issues in machine learning of user profiles
R1	10.1.1.2.4224	Augmenting Recommender Systems by Embedding Interfaces into Office Practices
R1	10.1.1.2.3049	Studying Recommendation Algorithms by Graph Analysis
R1	10.1.1.109.3794	Machine learning in user modeling
R1	10.1.1.22.2434	Relevance Feedback for Best Match Term Weighting Algorithms in Information Retrieval
R1	10.1.1.18.7724	An Empirical Study of Web Personalization Assistants: Supporting End-Users in Web Information Systems
R1	10.1.1.111.5581	Modeling Web Site Personalization Strategies
R1	10.1.1.36.7542	Knowledge Based Recommender Systems Using Explicit User Models
R1	10.1.1.24.5936	A Framework for Implicitly Tracking Data
R1	10.1.1.27.1610	Ontology-Based Web Site Mapping for Information Exploration
