10.1.1.108.8502	2007	Outlier Detection: A Survey
R1	10.1.1.217.4132	Mining Association Rules between Sets of Items in Large Databases
R1	10.1.1.40.9892	Mining Sequential Patterns
R1	10.1.1.120.9821	Conditional random fields: Probabilistic models for segmenting and labeling sequence data
R1	10.1.1.329.5778	A Markov Chain Model of Temporal Behavior for Anomaly Detection
R1	10.1.1.116.2034	Maximum entropy markov models for information extraction and segmentation
R1	10.1.1.33.3654	Activity Monitoring: Noticing interesting changes in behavior
R1	10.1.1.108.6701	On-line unsupervised outlier detection using finite mixtures with discounting learning algorithms
R1	10.1.1.26.2088	Visual Data Mining: Recognizing Telephone Calling Fraud
R1	10.1.1.407.7108	Discovery of frequent episodes in event sequences
R1	10.1.1.47.6145	A Sense of Self for Unix Processes
R1	10.1.1.134.4855	Data Mining Approaches for Intrusion Detection
R1	10.1.1.317.9421	Detecting intrusion using system calls: alternative data models
R1	10.1.1.24.1005	A Fast Automaton-Based Method for Detecting Anomalous Program Behaviors
R1	10.1.1.27.304	Learning Program Behavior Profiles for Intrusion Detection
R1	10.1.1.114.4122	EMERALD: Event monitoring enabling responses to anomalous live disturbances
R1	10.1.1.117.6291	Detection of Abrupt Spectral Changes using Support Vector Machines. An application to audio signal segmentation
R1	10.1.1.43.6197	Intrusion Detection using Sequences of System Calls
R1	10.1.1.28.8387	Adaptive Intrusion Detection: a Data Mining Approach
R1	10.1.1.216.8842	An Immunological Approach to Change Detection: Algorithms
R1	10.1.1.17.9158	State Transition Analysis: A Rule-Based Intrusion Detection Approach
R1	10.1.1.39.912	Estimating the Support of a High-Dimensional Distribution
R1	10.1.1.34.4329	Efficient Clustering of High-Dimensional Data Sets with Application to Reference Matching
R1	10.1.1.121.5724	A Probabilistic Framework for Semi-Supervised Clustering
R1	10.1.1.158.7469	Temporal sequence learning and data reduction for anomaly detection
R1	10.1.1.121.9220	A density-based algorithm for discovering clusters in large spatial databases with noise
R1	10.1.1.89.8594	COOLCAT: an entropy-based algorithm for categorical clustering
R1	10.1.1.5.5141	Specification-based Anomaly Detection: A New Approach for Detecting Network Intrusions
R1	10.1.1.107.5806	Wavecluster: A multi-resolution clustering approach for very large spatial databases
R1	10.1.1.48.3258	Self-Nonself Discrimination in a Computer
R1	10.1.1.44.3648	Clustering Sequences with Hidden Markov Models
R1	10.1.1.40.1452	Learning Patterns from Unix Process Execution Traces for Intrusion Detection
