10.1.1.125.3701	2004	Cluster Analysis for Gene Expression Data: A Survey
R1	10.1.1.26.5045	Biclustering of Expression Data
R1	10.1.1.17.1450	A Clustering Algorithm based on Graph Connectivity
R1	10.1.1.261.8701	Resampling method for unsupervised estimation of cluster validity
R1	10.1.1.131.5152	Automatic Subspace Clustering of High Dimensional Data
R1	10.1.1.101.5035	How many clusters? Which clustering method? Answers via model-based cluster analysis
R1	10.1.1.34.5341	Clustering Gene Expression Patterns
R1	10.1.1.38.1206	CLICK: A Clustering Algorithm for Gene Expression Analysis
R1	10.1.1.40.9045	Validating Clustering for Gene Expression Data
R1	10.1.1.127.7601	Exploring expression data: Identification and analysis of coexpressed genes
R1	10.1.1.21.285	CLIFF: Clustering of High-Dimensional Microarray Data via Iterative Feature Filtering Using Normalized Cuts
R1	10.1.1.286.6133	Coupled two-way clustering analysis of gene microarray data
R1	10.1.1.12.3288	Missing value estimation methods for DNA microarrays
R1	10.1.1.107.3693	Zipf’s Law in Importance of Genes for Cancer Classification Using Microarray Data
R1	10.1.1.2.2638	Robust Data Clustering
R1	10.1.1.33.797	Class Discovery in Gene Expression Data
R1	10.1.1.11.6078	delta-Clusters: Capturing Subspace Correlation in a Large Data Set
R1	10.1.1.36.4763	Plaid Models for Gene Expression Data
R1	10.1.1.28.8161	An empirical study of Principal Component Analysis for clustering gene expression data
R1	10.1.1.92.3199	Interactive exploration of coherent patterns in time-series gene expression data
R1	10.1.1.411.8243	Analysis of molecular profile data using generative and discriminative methods. Physiol. Genom
R1	10.1.1.19.7191	Analysis of Gene Expression Profiles: Class Discovery and Leaf Ordering
R1	10.1.1.205.3714	DHC: A Density-Based Hierarchical Clustering Method for Time Series Gene Expression Data
R1	10.1.1.83.6748	Mining phenotypes and informative genes from gene expression data
