10.1.1.141.1628	2006	A Survey of Web Information Extraction Systems
R1	10.1.1.54.3298	Learning to Extract Text-based Information from the World Wide Web
R1	10.1.1.32.8501	Information Extraction from HTML: Application of a General Machine Learning Approach
R1	10.1.1.51.8159	Generating Finite-State Transducers For Semi-Structured Data Extraction From The Web
R1	10.1.1.41.8809	Learning Information Extraction Rules for Semi-structured and Free Text
R1	10.1.1.34.9263	WebOQL: Restructuring Documents, Databases and Webs
R1	10.1.1.33.2176	Wrapper Induction for Information Extraction
R1	10.1.1.135.2180	XWRAP: An XML-Enabled Wrapper Construction System for Web Information Sources
R1	10.1.1.10.6389	Bottom-Up Relational Learning of Pattern Matching Rules for Information Extraction
R1	10.1.1.28.2722	NoDoSE - A tool for Semi-Automatically Extracting Structured and Semistructured Data from Text Documents.
R1	10.1.1.58.6828	Discovering Complex Matchings across Web Query Interfaces: A Correlation Mining Approach
R1	10.1.1.102.9515	Extracting structured data from web pages
R1	10.1.1.89.3036	An interactive clustering-based approach to integrating source query interfaces on the deep web
R1	10.1.1.23.1500	Building Intelligent Web Applications Using Lightweight Wrappers
R1	10.1.1.21.2755	Learning Information Extraction Patterns From Examples
R1	10.1.1.3.661	Mining Data Records in Web Pages
R1	10.1.1.14.320	Table Extraction Using Conditional Random Fields
R1	10.1.1.56.7152	A Hierarchical Approach to Wrapper Induction
R1	10.1.1.4.4087	Eliminating Noisy Information in Web Pages for Data Mining
R1	10.1.1.136.465	Semistructured Data: The TSIMMIS Experience
R1	10.1.1.17.9236	IEPAD: Information Extraction Based on Pattern Discovery
R1	10.1.1.136.4711	Fully automatic wrapper generation for search engines
R1	10.1.1.59.6257	Thresher: Automating the Unwrapping of Semantic Content from the World Wide Web
R1	10.1.1.38.2500	Grammars Have Exceptions
R1	10.1.1.109.3942	OLERA: A semi-supervised approach for web data extraction with visual support
R1	10.1.1.33.1770	Learning to Tag for Information Extraction from Text
R1	10.1.1.66.277	Web data extraction based on partial tree alignment
R1	10.1.1.86.6263	On the Complexity of Schema Inference from Web Pages in the Presence of Nullable Data Attributes
