10.1.1.148.1428	2008	Algorithms and Approaches of Proxy Signature: A Survey
R1	10.1.1.37.9720	New Directions in Cryptography
R1	10.1.1.107.1494	Short signatures from the Weil pairing
R1	10.1.1.116.5477	An identity based encryption scheme based on quadratic residues
R1	10.1.1.8.1482	Efficient Identity Based Signature Schemes Based on Pairings
R1	10.1.1.109.1557	Identity-based encryption from the Weil pairing
R1	10.1.1.160.9419	The digital distributed system security architecture
R1	10.1.1.20.8353	A Digital Signature Scheme Secure Against Adaptive Chosen-Message Attacks
R1	10.1.1.1.5722	ID-Based Proxy Signature Using Bilinear Pairings
R1	10.1.1.3.5245	The Hierarchy of Key Evolving Signatures and a Characterization of Proxy Signatures
R1	10.1.1.32.1659	Robust Threshold DSS Signatures
R1	10.1.1.51.4237	Threshold Proxy Signature Schemes
R1	10.1.1.15.5705	Proxy Cryptography Revisited
R1	10.1.1.2.3441	On the Security of Some Nonrepudiable Threshold Proxy Signature Schemes with Known Signers
R1	10.1.1.12.527	Self-Certified Signatures
R1	10.1.1.12.4647	On the Security of Some Proxy Signature Schemes
R1	10.1.1.14.2768	Further Cryptanalysis of some Proxy Signature Schemes
R1	10.1.1.14.4097	New Proxy Signature, Proxy Blind Signature and Proxy Ring Signature Schemes from Bilinear Pairings
R1	10.1.1.15.348	A New Multi-Proxy Signature Scheme for Partial Delegation with Warrant
R1	10.1.1.30.3910	Nonrepudiable Proxy Signature Schemes
R1	10.1.1.3.1969	Designated-Verifier Proxy Signatures for E-Commerce
R1	10.1.1.74.7246	Security analysis of Lal and Awasthi’s proxy signature schemes. Available At http://eprint.iacr.org/2003/263
R1	10.1.1.95.731	Efficient ID-Based Blind Signature and Proxy Signature
