10.1.1.11.7722	2001	Automatic Segmentation of Text Into Structured Records
R1	10.1.1.51.8159	Generating Finite-State Transducers For Semi-Structured Data Extraction From The Web
R1	10.1.1.131.2084	A tutorial on hidden markov models and selected applications in speech recognition
R1	10.1.1.41.8809	Learning Information Extraction Rules for Semi-structured and Free Text
R1	10.1.1.116.2034	Maximum entropy markov models for information extraction and segmentation
R1	10.1.1.48.1997	Extracting Semistructured Information from the Web
R1	10.1.1.33.2176	Wrapper Induction for Information Extraction
R1	10.1.1.17.1607	Digital libraries and autonomous citation indexing
R1	10.1.1.135.2180	XWRAP: An XML-Enabled Wrapper Construction System for Web Information Sources
R1	10.1.1.156.3931	Building light-weight wrappers for legacy web data-sources using W4F
R1	10.1.1.23.9685	The field matching problem: Algorithms and applications
R1	10.1.1.67.4784	Extraction Patterns for Information Extraction Tasks: A Survey
R1	10.1.1.10.6389	Bottom-Up Relational Learning of Pattern Matching Rules for Information Extraction
R1	10.1.1.320.6302	Learning Hidden Markov Model Structure for Information Extraction
R1	10.1.1.105.6330	Nymble: a high-performance learning name-finder
R1	10.1.1.55.2700	The Merge/Purge Problem for Large Databases
R1	10.1.1.26.3665	Information Extraction with HMM Structures Learned by Stochastic Optimization
R1	10.1.1.21.2755	Learning Information Extraction Patterns From Examples
R1	10.1.1.56.7152	A Hierarchical Approach to Wrapper Induction
R1	10.1.1.34.3245	TheaterLoc: Using Information Integration Technology to Rapidly Build Virtual Applications
R1	10.1.1.34.8990	A survey of semi-automatic extraction and transformation
