10.1.1.145.7766	2009	Directed Random Testing
R1	10.1.1.13.5473	Discovering Algebraic Specifications from Java Classes
R1	10.1.1.15.9015	Dynamic Program Slicing
R1	10.1.1.122.9788	Korat: Automated testing based on Java predicates
R1	10.1.1.21.9604	Evaluating Testing Methods by Delivered Reliability
R1	10.1.1.1.8868	Automated Robustness Testing of Off-the-Shelf Software Components
R1	10.1.1.155.1584	The Daikon system for dynamic detection of likely invariants
R1	10.1.1.62.7644	Finding the needles in the haystack: Generating legal test inputs for object-oriented programs
R1	10.1.1.365.1140	Symstra: A framework for generating object-oriented unit tests using symbolic execution
R1	10.1.1.62.5204	What is a Good Test Case
R1	10.1.1.115.5693	Eclat: Automatic generation and classification of test inputs
R1	10.1.1.143.474	EXE: Automatically generating inputs of death
R1	10.1.1.180.9949	DART: Directed automated random testing
R1	10.1.1.32.7648	An Empirical Study of the Reliability of UNIX Utilities
R1	10.1.1.123.4597	DSD-Crasher: A hybrid analysis tool for bug finding
R1	10.1.1.196.3881	D.: Rostra: A framework for detecting redundant objectoriented unit tests
R1	10.1.1.62.9804	An empirical comparison of automated generation and classification techniques for object-oriented unit testing
R1	10.1.1.189.389	Test input generation for Java containers using state matching
R1	10.1.1.153.624	Using evolutionary algorithms for the unit testing of object-oriented software
R1	10.1.1.61.5926	Generating structurally complex tests from declarative constraints
R1	10.1.1.107.3636	Software assurance by bounded exhaustive testing
R1	10.1.1.124.3332	Feedback-directed random test generation
R1	10.1.1.363.708	An empirical study of the robustness of macos applications using random testing
R1	10.1.1.68.6029	CUTE and jCUTE: Concolic unit testing and explicit path model-checking tools
R1	10.1.1.126.5701	Randomized Differential Testing as a Prelude to Formal Verification
R1	10.1.1.115.5528	RaceTrack: Efficient detection of data race conditions via adaptive tracking
R1	10.1.1.119.1162	Reconciling Manual and Automated Testing: the AutoTest Experience
R1	10.1.1.147.663	Jartege: a Tool for Random Generation of Unit Tests for Java Classes
R1	10.1.1.130.1768	Finding Errors in .NET with Feedback-Directed Random Testing
R1	10.1.1.141.7630	Random test run length and effectiveness
R1	10.1.1.143.3442	Improving Structural Testing of Object-Oriented Programs via Integrating Evolutionary Testing and Symbolic Execution
R1	10.1.1.145.6217	Equality and Hashing for (almost) Free: Generating Implementations from Abstraction Functions
R1	10.1.1.219.4019	Artoo: Adaptive random testing for object-oriented software
R1	10.1.1.174.2207	Predicting effectiveness of automatic testing tools
