10.1.1.159.1414	2005	Advances in Digital Video Content Protection
R1	10.1.1.35.8619	An Empirical Study of Secure MPEG Video Transmissions
R1	10.1.1.29.1306	Partial Encryption of Compressed Images and Videos
R1	10.1.1.118.9444	Secure spread spectrum watermarking for multimedia
R1	10.1.1.377.1186	Wavelet base rate scalable video compression
R1	10.1.1.23.5164	Secure Scalable Streaming Enabling Transcoding Without Decryption
R1	10.1.1.22.8714	Reading Between the Lines: Lessons from the SDMI Challenge
R1	10.1.1.21.9769	Quantization Index Modulation: A Class of Provably Good Methods for Digital Watermarking and Information Embedding
R1	10.1.1.159.1642	Perceptual Watermarks for Digital Images and Video
R1	10.1.1.38.7445	Generalized Watermarking Attack Based on Watermark Estimation and Perceptual Remodulation
R1	10.1.1.21.4517	Attacks on Copyright Marking Systems
R1	10.1.1.31.6638	Collusion-Secure Fingerprinting for Digital Data
R1	10.1.1.54.5750	Watermarking of Uncompressed and Compressed Video
R1	10.1.1.130.5589	Overview of Fine Granularity Scalability in MPEG-4 Video Standard
R1	10.1.1.13.2013	Multimedia Security In Group Communications: Recent Progress in Wired and Wireless Networks
R1	10.1.1.9.767	Multimedia Watermarking Techniques
R1	10.1.1.133.6323	H.263+: Video coding at low bit rates
R1	10.1.1.23.5112	Streaming Video over the Internet: Approaches and Directions
R1	10.1.1.131.9745	H.264/AVC over IP
R1	10.1.1.21.306	Video Multicast using Layered FEC and Scalable Compression
R1	10.1.1.17.5239	Geometrically Invariant Watermarking Using Feature Points
R1	10.1.1.124.5360	A survey of key management for secure group communication
R1	10.1.1.158.7989	Digital Watermarking: Algorithms and Applications
R1	10.1.1.11.6886	Scalar Costa Scheme for Information Embedding
R1	10.1.1.13.7441	On Sequential Watermark Detection
R1	10.1.1.85.7664	How DRM Based Content Delivery Systems Disrupt Expectations of ”Personal Use
R1	10.1.1.110.5886	Multiresolution scene-based video watermarking using perceptual models
R1	10.1.1.84.5061	Attacks on digital watermarks: Classification, estimation-based attacks, and benchmarks
R1	10.1.1.141.7666	Watermarking Digital Image and Video Data -- A State-of-the-Art Overview
R1	10.1.1.127.3319	Key management and distribution for secure multimedia multicast
R1	10.1.1.158.8341	Streaming video and rate scalable compression: what are the challenges for watermarking?
R1	10.1.1.375.3151	A DWT-DFT composite watermarking scheme robust to both affine transform and JPEG compression
R1	10.1.1.141.2661	Optimal differential energy watermarking of DCT encoded images and video
R1	10.1.1.13.2135	Power-Spectrum Condition for Energy-Efficient Watermarking
R1	10.1.1.69.9398	Selective encryption of multimedia content in distribution networks: challenges and new directions
R1	10.1.1.9.288	Generalized 2-D Cyclic Patterns for Secret Watermark Generation
R1	10.1.1.58.3671	Adaptive Motion-Compensation Fine-Granular-Scalability (AMC-FGS) for Wireless Video
R1	10.1.1.17.3928	Watercasting: Distributed Watermarking of Multicast Media
R1	10.1.1.29.1705	Digital Watermarking for DVD Video Copy Protection: What Issues Play a Role in Designing an Effective System?
R1	10.1.1.108.1366	Security issues and solutions in multicast content distribution: A survey
R1	10.1.1.218.7178	A secure multicast protocol with copyright protection
R1	10.1.1.78.5045	Whim: Watermarking multicast video with a hierarchy of intermediaries
R1	10.1.1.3.4969	Combined video and audio watermarking: Embedding content information in multimedia data
R1	10.1.1.13.2626	An Integrated Approach To Encrypting Scalable Video
R1	10.1.1.16.6600	Enabling Hierarchical and Bulk-Distribution for Watermarked Content
R1	10.1.1.158.6276	Temporal synchronization in video watermarking
R1	10.1.1.28.5111	Attack Modelling: Towards a Second Generation Watermarking Benchmark
R1	10.1.1.146.4372	Key Management for Encrypted Broadcast
R1	10.1.1.6.6853	Human Visual System Features Enabling Watermarking
R1	10.1.1.216.8519	Key management approaches to offer data confidentiality for secure multicast
R1	10.1.1.63.9357	Secure hybrid robust watermarking resistant against tampering and copy attack
