10.1.1.26.7709	2000	Schrodinger Operators In The Twentieth Century
R1	10.1.1.211.1373	Singular continuous spectrum under rank one perturbations and localization for random Hamiltonians
R1	10.1.1.34.614	Sharp Lieb-Thirring Inequalities In High Dimensions
R1	10.1.1.210.9109	Operators with singular continuous spectrum, IV: Hausdorff dimensions, rank one pertubations, and localization
R1	10.1.1.241.1320	Absolutely continuous spectrum of one-dimensional Schrödinger operators and Jacobi matrices with slowly decaying potentials
R1	10.1.1.21.9960	Modified Prüfer And EFGP Transforms And The Spectral Analysis Of One-Dimensional Schrödinger Operators
R1	10.1.1.211.534	Eigenfunctions, transfer matrices, and absolutely continuous spectrum of one-dimensional Schrödinger operators
R1	10.1.1.127.1770	The absolutely continuous spectrum of one-dimensional Schrödinger operators with decaying potentials
R1	10.1.1.211.3184	Bounded eigenfunctions and absolutely continuous spectra for one-dimensional Schrödinger operators
R1	10.1.1.158.8171	New bounds on the Lieb-Thirring constants
R1	10.1.1.106.2739	L p spectral theory of higher-order elliptic differential operators
R1	10.1.1.210.9653	Operators With Singular Continuous Spectrum, V. Sparse Potentials
R1	10.1.1.236.496	Metal-insulator transition for the almost Mathieu operator
R1	10.1.1.28.1481	Constructive Fractional-Moment Criteria for Localization in Random Operators
R1	10.1.1.141.2423	Local Properties of Coulombic Wave Functions
R1	10.1.1.211.2758	Semiclassical analysis of low lying eigenvalues. III. Width of the ground state band in strongly coupled solids, Ann. Physics 158
R1	10.1.1.211.1587	Some Schrödinger operators with dense point spectrum
R1	10.1.1.211.3192	On Local Borg–Marchenko Uniqueness Results
R1	10.1.1.211.2851	Some Jacobi Matrices with Decaying Potential and Dense Point Spectrum
R1	10.1.1.22.5130	A New Approach To Inverse Spectral Theory, I. Fundamental Formalism
R1	10.1.1.239.7615	Stability of the absolutely continuous spectrum of the Schrödinger equation under slowly decaying perturbations and a.e. convergence of integral operators
R1	10.1.1.162.2708	Resonances in physics and geometry
R1	10.1.1.24.1000	A Feynman-Kac Formula for Unbounded Semigroups
R1	10.1.1.211.946	Pointwise Bounds on Eigenfunctions and Wave Packets in N-Body Quantum Systems IV
R1	10.1.1.211.490	Quadratic form techniques and the Balslev-Combes theorem
R1	10.1.1.149.8890	Fifty years of eigenvalue perturbation theory
R1	10.1.1.211.950	Dilation Analyticity in Constant Electric Field II. N-body Problem, Borel Summability
R1	10.1.1.211.3163	On positive eigenvalues of one-body Schrodinger operators
