10.1.1.40.550	1999	Timing Analysis of Embedded Real-Time Systems
R1	10.1.1.17.2497	A Rate-Based Execution Abstraction For Multimedia Computing
R1	10.1.1.36.8216	Scheduling Algorithms for Multiprogramming in a Hard-Real-Time Environment
R1	10.1.1.329.2647	Maintaining knowledge about temporal intervals
R1	10.1.1.23.817	Hardware-software Co-synthesis for Digital Systems
R1	10.1.1.31.4115	The Extended Partitioning Problem: Hardware/Software Mapping, Scheduling, and Implementation-bin Selection
R1	10.1.1.224.1366	Synchronous data flow
R1	10.1.1.17.6363	Automated Consistency Checking of Requirements Specifications
R1	10.1.1.15.9278	Allocation and Scheduling of Real-Time Periodic Tasks with Relative Timing Constraints
R1	10.1.1.49.1512	Scheduling Dynamic Dataflow Graphs With Bounded Memory Using The Token Flow Model
R1	10.1.1.34.9832	Faster Maximum and Minimum Mean Cycle Algorithms for System Performance Analysis
R1	10.1.1.144.8963	Efficient Algorithms for Optimum Cycle Mean and Optimum Cost to Time Ratio Problems
R1	10.1.1.17.6335	Synthesis of Timed Asynchronous Circuits
R1	10.1.1.29.6278	Methods and Applications of (max,+) Linear Algebra
R1	10.1.1.331.5537	Numerical computation of spectral elements in max-plus algebra
R1	10.1.1.28.4443	Faster Parametric Shortest Path and Minimum Balance Algorithms
R1	10.1.1.50.7438	The Real-Time Producer/Consumer Paradigm: A paradigm for the construction of efficient, predictable real-time systems
R1	10.1.1.307.6305	Timing Verification Using HDTV
R1	10.1.1.54.5255	Distributed Pipeline Scheduling: A Framework for Distributed, Heterogeneous Real-Time System Design
R1	10.1.1.48.9672	Rate Analysis for Embedded Systems
R1	10.1.1.56.9779	Streamlining Real-Time Controller Design: From Performance Specifications to End-to-End Timing Constraints
R1	10.1.1.44.1891	Guaranteeing Real-Time Requirements with Resource-Based Calibration of Periodic Processes
R1	10.1.1.17.9841	Resource Conscious Design of Distributed Real-Time Systems An End-to-End Approach
R1	10.1.1.47.8642	Subtask Deadline Assignment for Complex Distributed Soft Real-Time Tasks
R1	10.1.1.31.9565	Rate Derivation and Its Applications to Reactive, Real-time Embedded Systems
R1	10.1.1.228.3803	New scaling algorithms for the assignment and minimum mean cycle problems
R1	10.1.1.44.8732	Symbolic Timing Verification of Timing Diagrams using Presburger Formulas
R1	10.1.1.25.7109	Bounded Delay Timing Analysis of a Class of CSP Programs
R1	10.1.1.16.8045	Symbolic Techniques for Performance Analysis of Timed Systems based on Average Time Separation of Events
R1	10.1.1.53.6816	An Experimental Study of Minimum Mean Cycle Algorithms
R1	10.1.1.33.6967	Determining the Minimum Iteration Period of an Algorithm
R1	10.1.1.44.9091	An Interactive Validation Methodology for Embedded Systems
R1	10.1.1.154.6010	A non-linear hierarchy for discrete event dynamical systems. Extended version of the present paper
R1	10.1.1.49.4597	A General Approach to Performance Analysis and Optimization of Asynchronous Circuits
R1	10.1.1.75.4945	On the Management  of Latency in the Synthesis of  Real-time Signal Processing Systems from Processing Graphs
R1	10.1.1.38.8266	Approximate Algorithms for Time Separation of Events
R1	10.1.1.56.1479	Interface Timing Verification with Application to Synthesis
R1	10.1.1.26.1068	The Integration of Control and Dataflow Structures in Distributed Hard Real-Time Systems
R1	10.1.1.110.7998	Finding minimum cost to time ratio cycles with small integral transit times
R1	10.1.1.49.3745	Automated Derivation of Time Bounds in Uniprocessor Concurrent Systems
R1	10.1.1.230.6090	The token flow model
R1	10.1.1.29.9750	A Software Synthesis Method for Building Real-Time Systems from Processing Graphs
R1	10.1.1.30.1694	RATAN: A Tool for Rate Analysis and Rate Constraint Debugging for. . .
