10.1.1.69.5953	1999	Security for a High Performance Commodity Storage Subsystem
R1	10.1.1.360.9460	Scale and performance in a distributed file system
R1	10.1.1.120.5	Cooperative Caching: Using Remote Client Memory to Improve File System Performance
R1	10.1.1.114.9535	A Fast File System for UNIX
R1	10.1.1.207.7728	Incremental Cryptography: The Case of Hashing and Signing
R1	10.1.1.43.7849	The BSD Packet Filter: A New Architecture for User-level Packet Capture
R1	10.1.1.142.6054	Safe Kernel Extensions Without Run-Time Checking
R1	10.1.1.40.8767	Petal: Distributed Virtual Disks
R1	10.1.1.112.463	Myrinet: A Gigabit-per-Second Local Area Network
R1	10.1.1.23.7000	Tamper Resistance -- a Cautionary Note
R1	10.1.1.21.5677	Fast Compilation for Pipelined Reconfigurable Fabrics
R1	10.1.1.130.4550	The Zebra striped network file system
R1	10.1.1.33.1261	File System Design for an NFS File Server Appliance
R1	10.1.1.15.3654	Measurements of a Distributed File System
R1	10.1.1.113.3119	Reducing file system latency using a predictive approach
R1	10.1.1.136.4159	The sprite network operating system
R1	10.1.1.118.901	Caching in the Sprite Network File System
R1	10.1.1.45.7141	A Cryptographic File System for Unix
R1	10.1.1.138.5945	File server scaling with network-attached secure disks
R1	10.1.1.10.1490	A Coherent Distributed File Cache With Directory Write-behind
R1	10.1.1.117.233	Pseudorandom functions revisited: The cascade construction and its concrete security
R1	10.1.1.38.9374	Authentication for Distributed Systems
R1	10.1.1.364.5196	Improving Security and Performance for Capability Systems
R1	10.1.1.120.708	A note on the use of timestamps as nonces
R1	10.1.1.47.6375	A Flow-Based Approach to Datagram Security
R1	10.1.1.297.717	Authorization for Metacomputing applications
