10.1.1.86.4610	2006	On-line learning of unknown hand held objects via tracking
R1	10.1.1.4.6609	Automatically Labeling Video Data Using Multi-class Active Learning
R1	10.1.1.138.588	Real-Time Tracking of Non-Rigid Objects using Mean Shift
R1	10.1.1.110.5546	Neural Network-Based Face Detection
R1	10.1.1.16.1712	Learning Flexible Models from Image Sequences
R1	10.1.1.10.6807	Rapid object detection using a boosted cascade of simple features
R1	10.1.1.1.6864	An Eigenspace Update Algorithm for Image Analysis
R1	10.1.1.132.3753	A Bayesian computer vision system for modeling human interactions
R1	10.1.1.130.9013	Learning quickly when irrelevant attributes abound: A new linear-threshold algorithm
R1	10.1.1.124.1906	Unsupervised Improvement of Visual Detectors using Co-Training
R1	10.1.1.10.9635	Training Object Detection Models with Weakly Labeled Data
R1	10.1.1.3.2508	Merging and Splitting Eigenspace Models
R1	10.1.1.324.870	H.: Robust recognition using eigenimages
R1	10.1.1.62.7509	Person spotting: video shot retrieval for face sets
R1	10.1.1.3.8549	Quasi-Linear Algorithm for the Component Tree
R1	10.1.1.103.8807	Quasi-linear algorithms for the topological watershed
R1	10.1.1.144.9557	On-line conservative learning for person detection
R1	10.1.1.214.8804	Online Boosting and Vision
R1	10.1.1.377.2499	Comparison of affine-invariant local detectors and descriptors
R1	10.1.1.144.8869	A novel performance evaluation method of local detectors on non-planar scenes
R1	10.1.1.330.7367	Efficient maximally stable extremal region (mser) tracking
