10.1.1.96.1703	2007	Effective Linear-Time Feature Selection
R1	10.1.1.48.2488	Learning With Many Irrelevant Features
R1	10.1.1.138.635	Instance-based learning algorithms
R1	10.1.1.111.7659	Selection of relevant features and examples in machine learning
R1	10.1.1.186.4758	Wrappers for feature subset selection
R1	10.1.1.51.6297	Estimating Attributes: Analysis and Extensions of RELIEF
R1	10.1.1.153.7626	The Strength of Weak Learnability
R1	10.1.1.30.3875	Irrelevant Features and the Subset Selection Problem
R1	10.1.1.43.4648	Selection of Relevant Features in Machine Learning
R1	10.1.1.44.7302	Feature Selection for Ensembles
R1	10.1.1.41.3576	Greedy Attribute Selection
R1	10.1.1.48.5103	On Feature Selection: Learning with Exponentially many Irrelevant Features as Training Examples
R1	10.1.1.27.9614	Feature Subset Selection Using the Wrapper Method: Overfitting and Dynamic Search Space Topology
R1	10.1.1.114.4233	Combining Nearest Neighbor Classifiers Through Multiple Feature Subsets
R1	10.1.1.35.7011	Average-Case Analysis of a Nearest Neighbor Algorithm
R1	10.1.1.34.3369	Feature Selection And Classification - A Probabilistic Wrapper Approach
R1	10.1.1.17.626	A Comparative Evaluation of  Sequential Feature Selection Algorithms
R1	10.1.1.33.3968	Stochastic attribute selection committees
R1	10.1.1.53.3935	Practical Feature Subset Selection for Machine Learning
R1	10.1.1.331.5305	Feature subset selection as search with probabilistic estimates
R1	10.1.1.38.6967	Conditions for Occam's Razor Applicability and Noise Elimination
