10.1.1.96.7066	2006	State of the Art Analysis of Wireless Mesh Technologies
R1	10.1.1.138.3623	The capacity of wireless networks
R1	10.1.1.12.5035	Dynamic Power Allocation and Routing for Time Varying Wireless Networks
R1	10.1.1.12.2972	Optimal Routing, Link Scheduling and Power Control in Multi-hop Wireless Networks
R1	10.1.1.18.2598	Simultaneous Routing and Resource Allocation via Dual Decomposition
R1	10.1.1.1.2405	SSCH: Slotted Seeded Channel Hopping for Capacity Improvement in IEEE 802.11 Ad-Hoc Wireless Networks
R1	10.1.1.98.5736	ad hoc on-demand distance vector (aodv) routing
R1	10.1.1.117.453	Multi-Channel MAC for Ad Hoc Networks: Handling Multi-Channel Hidden Terminals Using a Single Transceiver
R1	10.1.1.329.6251	Cellular IP: A New Approach to Internet Host Mobility
R1	10.1.1.1.4227	End-to-End Performance and Fairness in Multihop Wireless Backhaul Networks
R1	10.1.1.127.3891	Impact of interference on multi-hop wireless network performance
R1	10.1.1.111.4133	Mobility increases the capacity of ad-hoc wireless networks
R1	10.1.1.104.6876	Cross-Layer Design for Wireless Networks
R1	10.1.1.31.6029	Design, Implementation, and Evaluation of Cellular IP
R1	10.1.1.5.6094	Queuing with Adaptive Modulation and Coding over Wireless Links: Cross-Layer Analysis and Design
R1	10.1.1.114.2307	Routing in multi-radio, multi-hop wireless mesh networks
R1	10.1.1.132.5833	Delay and Capacity Trade-offs in Mobile Ad Hoc Networks: A Global Perspective
R1	10.1.1.3.5380	Link-level Measurements from an 802.11b Mesh Network
R1	10.1.1.61.2545	Wireless mesh networks: a survey
R1	10.1.1.94.9895	Fair resource allocation in wireless networks using queue-length-based scheduling and congestion control
R1	10.1.1.135.5419	ExOR: Opportunistic Multi-Hop Routing for Wireless Networks
R1	10.1.1.138.2822	Joint rate control and scheduling in multihop wireless networks
R1	10.1.1.110.3402	The impact of imperfect scheduling on cross-layer congestion  control in   wireless networks
R1	10.1.1.112.2848	Comparison of routing metrics for static multi-hop wireless networks
R1	10.1.1.404.6800	Joint channel assignment and routing for throughput optimization in multi-radio wireless mesh networks
R1	10.1.1.125.8938	Characterizing the capacity region in multi-radio multi-channel wireless mesh networks
